SID,Ver,Ratings,Mental,Physical,Temporal,Performance,Effort,Frustration,Ranking,Mental,Physical,Temporal,Performance,Effort,Fustration,Total Count,Adjusted Rating,Mental,Physical,Temporal,Performance,Effort,Fustration,Sum,Weighted Rate
S001,v3,,25,0,5,0,5,20,,3,0,2,5,1,4,15,,75,0,10,0,5,80,170,11.3
S002,v2,,80,5,15,30,65,40,,5,0,1,3,4,2,15,,400,0,15,90,260,80,845,56.3
S003,v1,,70,5,10,55,65,60,,4,0,1,3,5,2,15,,280,0,10,165,325,120,900,60.0
S004,v4,,35,5,25,20,5,15,,5,1,3,4,2,0,15,,175,5,75,80,10,0,345,23.0
S005,v3,,100,0,0,10,100,75,,5,1,0,4,3,2,15,,500,0,0,40,300,150,990,66.0
S006,v4,,25,50,10,10,15,15,,2,5,0,4,2,2,15,,50,250,0,40,30,30,400,26.7
S007,v1,,35,10,40,35,65,15,,4,0,3,4,1,3,15,,140,0,120,140,65,45,510,34.0
S008,v2,,30,0,5,25,20,5,,4,0,1,5,3,2,15,,120,0,5,125,60,10,320,21.3
S009,v4,,60,30,15,15,60,25,,5,3,0,2,4,1,15,,300,90,0,30,240,25,685,45.7
S010,v2,,20,5,5,10,10,10,,4,0,1,3,2,5,15,,80,0,5,30,20,50,185,12.3
S012,v1,,80,0,0,20,70,0,,4,2,1,5,3,0,15,,320,0,0,100,210,0,630,42.0
S013,v2,,70,5,45,5,100,50,,5,0,1,3,4,2,15,,350,0,45,15,400,100,910,60.7
S014,v1,,65,5,50,5,20,5,,5,1,2,3,4,0,15,,325,5,100,15,80,0,525,35.0
S015,v3,,70,15,80,10,85,20,,5,0,1,2,3,4,15,,350,0,80,20,255,80,785,52.3
S016,v4,,40,5,5,30,15,5,,5,1,2,3,4,0,15,,200,5,10,90,60,0,365,24.3
S017,v2,,90,5,25,10,70,10,,4,0,3,2,5,1,15,,360,0,75,20,350,10,815,54.3
S018,v1,,55,0,0,15,55,20,,3,1,0,4,5,2,15,,165,0,0,60,275,40,540,36.0
S019,v4,,90,10,25,25,85,70,,5,0,1,3,4,2,15,,450,0,25,75,340,140,1030,68.7
S020,v3,,40,10,10,50,10,60,,4,0,1,3,2,5,15,,160,0,10,150,20,300,640,42.7
S021,v4,,55,5,30,50,80,65,,4,0,1,2,3,5,15,,220,0,30,100,240,325,915,61.0
S022,v2,,20,0,20,15,20,5,,2,1,5,4,3,0,15,,40,0,100,60,60,0,260,17.3
S023,v3,,25,5,5,10,15,5,,4,0,2,3,5,1,15,,100,0,10,30,75,5,220,14.7
S024,v1,,60,15,45,35,65,80,,4,0,3,2,1,5,15,,240,0,135,70,65,400,910,60.7
S025,v3,,45,5,10,10,25,10,,5,1,3,4,2,0,15,,225,5,30,40,50,0,350,23.3
S026,v4,,85,25,55,20,85,50,,5,0,2,3,4,1,15,,425,0,110,60,340,50,985,65.7
S027,v2,,40,5,15,50,35,5,,4,0,2,4,4,1,15,,160,0,30,200,140,5,535,35.7
S028,v3,,35,5,5,5,50,5,,5,0,1,3,4,2,15,,175,0,5,15,200,10,405,27.0
S029,v1,,75,0,60,50,65,30,,5,0,4,3,1,2,15,,375,0,240,150,65,60,890,59.3
S030,v2,,25,5,10,15,55,5,,4,0,1,5,3,2,15,,100,0,10,75,165,10,360,24.0
S031,v3,,75,5,5,20,55,15,,5,0,1,3,4,2,15,,375,0,5,60,220,30,690,46.0
S032,v1,,25,5,15,20,20,10,,3,0,3,5,3,1,15,,75,0,45,100,60,10,290,19.3
S033,v4,,60,5,10,30,50,5,,5,0,2,4,3,1,15,,300,0,20,120,150,5,595,39.7
S034,v2,,60,5,50,25,55,50,,5,0,2,3,2,3,15,,300,0,100,75,110,150,735,49.0
S035,v3,,60,0,15,25,65,0,,5,0,1,4,3,2,15,,300,0,15,100,195,0,610,40.7
S036,v1,,85,15,25,25,90,50,,5,0,1,2,4,3,15,,425,0,25,50,360,150,1010,67.3
S037,v4,,25,5,10,40,30,5,,5,3,0,2,2,3,15,,125,15,0,80,60,15,295,19.7
S038,v2,,30,5,10,15,40,5,,4,0,2,5,3,1,15,,120,0,20,75,120,5,340,22.7
S039,v4,,60,15,15,25,65,25,,4,2,1,3,5,0,15,,240,30,15,75,325,0,685,45.7
S040,v1,,30,5,15,5,25,5,,5,0,2,4,3,1,15,,150,0,30,20,75,5,280,18.7
S041,v3,,20,0,0,35,30,0,,5,0,1,4,3,2,15,,100,0,0,140,90,0,330,22.0
